Organization,Website,Status
"""PURE' ( parents united for responsible education)",https://www.resist.org/grantees/parents-united-for-responsible-education-pure,live
100 Black Men of Chicago,https://www.100bmc.org/about/,live
16th Ward Org,https://www.16thward.org/,live
17th District Advisory Committee,http://www.nonprofitfacts.com/IL/017th-District-Advisory-Committee.html,live
19th District Youth Net,https://www.dandb.com/businessdirectory/19thdistrictyouthnet-chicago-il-9751681.html,live
21st Century Community Learning Center,https://www.bti21stcclc.org/,live
2nd Ward Democratic Organization,https://www.2ndwarddems.com/about-the-2nd-ward,live
4H Cooperative Extension Service,https://extension.umaine.edu/4h/,live
4th Police District YouthNet,,not found
4th Presbtyterian Church - Partners In Education,https://www.fourthchurch.org/,live
4th Presbyterian Church Chicago Lights Tutoring Program = Partners in Education,https://chicagolights.org/about-us/,live
5A Multimedia & Holdings,,not found
826 CHI,https://depaul.digication.com/826chi_a_nonprofit_writing_tutoring_center/Welcome,live
850 Eastwood Tenants Association,,not found
A Blessed Child LLC,https://ablessedchildllc.org/,live
A Social Workers Blog,https://socialworkdogooder.wordpress.com/,live
AAAS Science Linkages in the Community,https://www.nhl.com/info/teams/,live
AAIIA,https://aaiil.org/Pages/?ContentId=14,live
AAIME,https://www.aaime-ed.org/,live
AAINE,https://www.shazam.com/song/1733363216/aaine,live
"AAUW-IL, Gender Equity Fund",https://www.nonprofitlist.org/IL/Glen_Ellyn.html,live
ACE Premier Counseling Services,,not found
ACE Technical Charter High School,https://www.publicschoolreview.com/ace-technical-charter-high-school-profile/60609,live
ACT Charter School GEAR UP,https://www.alanjackson.com/welcome,live
AIM,https://aiming.pro/,live
AIMS Mentor Program,https://web.archive.org/web/20160130061007/www.penya-africa.com/artist/sautisol/,archived
AJO & Associates,https://ajoassociates.com/,live
AON,https://www.aon.com/en/,live
AR Walker Consulting,https://web.archive.org/web/20160509041924/www.comiclist.com/index.php/news/new-shaft-series-and-shaft-s-revenge-novel-to-be-released-february-2016,archived
ARC,https://arcprize.org/guide,live
ARK of St Sabina 6th District Youth Net,https://mgoblue.com/,live
